Reading, Author, Units, Pages, Area, Status ,,,
Art and Education in the Telematic Culture (1988), Roy Ascott,0.33333333333333,10, network music , read, , ,
Is There Love in the Telematic Embrace? (1990), Roy Ascott,0.5,15, network music , read, , ,
Sema, Sarah Weaver,0.066666666666667,2, network music , , , ,
Live coding for all: three creative approaches to live coding for non programmers, Mauro Herrera & Jaime Lobato & Alberto Cerro and Lomeli,0.26666666666667,8, live coding , read, , ,
Saboritmico: A Report from the Dance Floor in Mexico, Emilio Ocelotl & Luis N Del Angel & Marianne Teixido,0.1,3, live coding , read , , ,
Live Coding Practice, Nick Collins,0.2,6, live coding , read , , ,
Live Coding of Consequences, Nick Collins,0.16666666666667,5, live coding , read , , ,
Live Coding From Scratch: The Cases of Practice in Mexico City and Barcelona, Hernani Villase?or & Iv?n Paz,0.23333333333333,7, live coding , read, , ,
LIVE CODING. ARTE COMPUTACIONAL EN PROCESO, Carolina Di Pr?spero,0.66666666666667,20, live coding , read , , ,
Bellacode: localized textual interfaces for livecoding music, Luis Navarro del Angel & Marianne Teixido & Emilio Ocelotl & Ivanka Cotrina,0.3,9, live coding , read, , ,
UIO-BOG Estudios Sonoros desde la Regi?n Andina, Mayra Est?vez Trujillo,1.9,55, sound studies , read, , ,
Live Coding and Failure, Shelly Knotts,0.26666666666667,8, live coding , read, , ,
Post-Acousmatic Practice: Re-Evaluating Schaeffer?s Heritage, Monty Adkins & Pierre Alexandre Tremblay,0.3333,10, sound studies , read, , ,
1999: Vibrational Anarchitecture, Steve Goodman,0.2,6, sound studies , read, , ,
13.7 Billion B.C.: The Ontology of Vibrational Force, Steve Goodman,0.13333333333333,4, sound studies , read, , ,
1931: Rhythmanalysis, Steve Goodman,0.2,6, sound studies , read, , ,
1900: The Vibrational Nexus, Steve Goodman,0.13333333333333,4, sound studies , read, , ,
1677: Ecology of Speeds, Steve Goodman,0.2,6, sound studies , read, , ,
1993: Vorticist Rhythmachines, Steve Goodman,0.13333333333333,4, sound studies , read, , ,
2012: Artificial Acoustic Agencies, Steve Goodman,0.2,6, sound studies , read, , ,
1877: Capitalism and Schizophonia, Steve Goodman,0.13333333333333,4, sound studies , read, , ,
1928: Contagious Orality, Steve Goodman,0.26666666666667,8, sound studies , read, , ,
2003: Contagious Transmission, Steve Goodman,0.2,6, sound studies , read, , ,
Internet2 and Global Electroacoustic Music: Navigating a decision space of production relationships and languages, I Whalley,0.4,12, network music , read, , ,
Building on the Foundations of Network Music: Exploring interaction contexts and shared robotic instruments, O Vallis,0.36666666666667,11, network music , read, , ,
Tele-Media and Instrument Making, B Gremo,0.43333333333333,13, network music , read, , ,
Repeating, Jacques Attali,1.5333333333333,46, sound studies , read, , ,
Composing, Jacques Attali,0.53333333333333,16, sound studies , read, , ,
Introduction in Cracked Media, Caleb Kelly,1.4333333333333,43, sound studies , read, , ,
Musical Economies of the Elusive Metropolis, G Steingo,0.63333333333333,19, sound studies , read, , ,
Decolonizing the Ear: The Transcolonial Reverberations of Vernacular Phonograph Music, Michael Denning,0.66666666666667,20, sound studies , read, , ,
The Euclidean Algorithm Generates Traditional Musical Rhythms, Godfried Toussaint,0.33333333333333,10, live coding , read, , ,
The construction of platform imperialism in the globalization era, Dal Yong Jin,0.93333333333333,28, network technology , read, , ,
DIGITAL SOVEREIGNTY OR DIGITAL COLONIALISM? New tensions of privacy security and national policies, Renata ?vila Pinto,0.43333333333333,13, network technology , read, , ,
Data colonialism: Rethinking big data?s relation to the contemporary subject, Nick Couldry & Ulises A. Mejias,0.46666666666667,14, network technology , read, , ,
From digital divides to the first mile: Indigenous peoples and the network society in Canada, Rob McMahon,0.83333333333333,25, network technology , read, , ,
Infrastructure studies meet platform studies in the age of Google and Facebook, Jean-Christopher Plantin & Carl Lagoze & Paul N. Edawrds & Christian Sandvig,0.6,18, network technology , , , ,
Time, Alfred North Whitehead,0.83333333333333,25, time studies , read, , ,
The Complex and the Singular, Stanley Kwinter,1.1666666666667,35, time studies , read, , ,
The Technicity of Time, A Mackenzie,0.76666666666667,23, time studies , read, , ,
Computing as If Infrastructure Mattered, JF Blanchette,0.1,3, network technology , read, , ,
A Material History of Bits, JF Blanchette,0.53333333333333,16, network technology , read, , ,
Anatomy of an AI: The Amazon Echo as an Anatomical Map of Human Labor Data and Planetary Resources, Kate Crawforf & Joler Vladan,0.7,21, network technology , read, , ,
The right to infrastructure: A prototype for open source urbanism, A Cors?n Jim?nez,0.7,21, network technology , , , ,
Infrastructure and Modernity: Force Time and Social Organization in the History of Sociotechnical Systems, PN Edwards,1.3666666666667,41, network technology , read, , ,
Understanding Infrastructure: History Heuristics and Cyberinfrastructure Policy, SJ Jackson,0.16666666666667,5, network technology , read, , ,
The Politics and Poetics of Infrastructure, Brian Larkin,0.16666666666667,5, network technology , read, , ,
"Digital Media Infrastructures: Pipes, Platforms, and Politics", Jean-Christophe Plantin & Aswin Punathambekar,0.4,12, network technology , , , ,
Introduction to Logistical Media Theory, Ned Rossier,0.86666666666667,26, network technology , , , ,
Imperial Infrastructures, Ned Rossier,1.5333333333333,46, network technology , , , ,
